iter	Passed	Remaining
246	1402	5675830
247	1407	5673073
248	1412	5670440
249	1417	5667248
250	1422	5665042
251	1427	5662311
252	1432	5660042
253	1437	5656901
254	1442	5654528
255	1447	5651840
256	1452	5650904
257	1457	5649146
258	1463	5647433
259	1467	5643826
260	1472	5641217
261	1477	5637660
262	1482	5634710
263	1487	5631942
264	1492	5630130
265	1497	5626427
266	1501	5623890
267	1506	5620722
268	1511	5618051
269	1516	5616375
270	1521	5613378
271	1526	5611902
272	1531	5608909
273	1536	5605379
274	1541	5602346
275	1546	5600846
276	1551	5598838
277	1556	5595989
278	1560	5593316
279	1566	5591389
280	1570	5588899
281	1575	5586774
282	1580	5584650
283	1585	5581760
284	1590	5580148
285	1595	5578756
286	1600	5576603
287	1605	5573779
288	1610	5571623
289	1615	5569189
290	1620	5566341
291	1625	5564496
292	1630	5563362
293	1635	5561169
294	1640	5558054
295	1644	5555754
296	1649	5553054
297	1654	5551706
298	1660	5550416
299	1665	5548489
300	1670	5546793
301	1675	5544836
302	1679	5542125
303	1684	5540852
304	1690	5539361
305	1694	5536933
306	1699	5534913
307	1704	5533614
308	1709	5531476
309	1714	5530514
310	1719	5528766
311	1724	5526971
312	1729	5524722
313	1734	5523008
314	1739	5521904
315	1745	5521292
316	1750	5520204
317	1755	5518472
318	1760	5516698
319	1765	5515399
320	1770	5513385
321	1775	5511628
322	1780	5509915
323	1785	5509104
324	1790	5506916
325	1795	5504523
326	1799	5502377
327	1804	5500680
328	1809	5498781
329	1814	5497690
330	1819	5496206
331	1824	5494056
332	1829	5491621
333	1834	5489547
334	1838	5487637
335	1844	5486782
336	1849	5486346
337	1854	5485912
338	1859	5484577
339	1865	5483463
340	1870	5482444
341	1875	5480854
342	1879	5478741
343	1885	5477826
344	1890	5476480
345	1894	5474415
346	1899	5473115
347	1904	5471626
348	1909	5470630
349	1914	5469195
350	1919	5467908
351	1925	5466902
352	1930	5466177
353	1934	5464097
354	1940	5463907
355	1945	5462606
356	1950	5460912
357	1955	5459596
358	1960	5458906
359	1965	5457478
360	1970	5456207
361	1975	5455380
362	1980	5454592
363	1985	5453850
364	1991	5453028
365	1996	5452144
366	2001	5450908
367	2006	5449304
368	2010	5447783
369	2016	5446740
370	2021	5445632
371	2025	5444164
