НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Суда на подводных крыльях | HYDROFOILS;https://vk.com/hydrofoils;12198294;124;4672;1.15%;фев.65;;;;
SEA SHERIFF - Морской Сайт и Паблик;https://vk.com/sea_sheriff;88150734;124;2331;1.15%;май.32;;;;
BiG_ASU;https://vk.com/big_asu;34039206;122;27229;1.13%;0.45;;;;
Подслушано | Авто | Керчь;https://vk.com/avto_kerch;94852005;122;15546;1.13%;0.78;;;;
Электроцех — гильдия электриков;https://vk.com/elektroceh;29096517;121;20860;1.12%;0.58;;;;
Marlins Test /ASK /CES /SETS / VOA /itest Wallem;https://vk.com/test380978545413whatsapp;71215049;120;4616;1.11%;фев.60;;;;
Газета Работник Моря;https://vk.com/rabotnikmorya;95845242;119;7441;1.10%;янв.60;;;;
БГАРФ (бывш. КВИМУ);https://vk.com/bgarfru;42153509;118;4363;1.09%;фев.70;;;;
Подслушано КМРК;https://vk.com/smi_kmrk;82435125;118;10745;1.09%;01.окт;;;;
Я - ЭЛЕКТРИК;https://vk.com/ya_elektric;158775381;117;24930;1.08%;0.47;;;;
Барк «Седов»;https://vk.com/barque_sedov_official;164705318;113;4370;1.04%;фев.59;;;;
Судомодельный магазин;https://vk.com/sudomodelistru;65520560;111;10176;1.03%;01.сен;;;;
▲Типичный Электромеханик по Лифтам▼;https://vk.com/lifts;1681220;108;21160;1.00%;0.51;;;;
Boats & Yachts;https://vk.com/boats_yachts;2380;106;14697;0.98%;0.72;;;;
ENGLISH FOR SEAMEN АНГЛИЙСКИЙ ДЛЯ МОРЯКОВ;https://vk.com/english_seamen;87748109;105;3907;0.97%;фев.69;;;;
Key4mate;https://vk.com/key4mate;26834742;104;7444;0.96%;янв.40;;;;
Морской форум Украины;https://vk.com/maritimeforum;49134724;104;7659;0.96%;янв.36;;;;
Каспийский институт морского и речного транспорт;https://vk.com/afvgavt;34018646;101;4906;0.93%;02.июн;;;;
"Подводные лодки ""Кригсмарине""";https://vk.com/club141500117;141500117;100;20182;0.92%;0.50;;;;
Керчь Мобильная Барахолка;https://vk.com/kerch_mobila;64091984;97;23860;0.90%;0.41;;;;
Alfa Laval;https://vk.com/alfalavalpotok;170370399;93;1545;0.86%;06.фев;;;;
Калининградский морской рыбопромышленный колледж;https://vk.com/kmrk_professionalitet;94963199;91;5392;0.84%;янв.69;;;;
Типичный слаботочник;https://vk.com/tipichniy_slabotochnik;39745165;87;24819;0.80%;0.35;;;;
Блог моряка торгового флота;https://vk.com/marinecrew;50962292;85;3228;0.79%;фев.63;;;;
Электронщик | Радиолюбители, радиоэлектроника;https://vk.com/electronshic;186706381;84;21284;0.78%;0.39;;;;
ТИХООКЕАНСКИЙ ФЛОТ ВМФ;https://vk.com/tof_russia;86624096;83;21794;0.77%;0.38;;;;
Керчь.ФМ;https://vk.com/kerchfm;30944630;82;25957;0.76%;0.32;;;;
Эко Шиппинг;https://vk.com/ecoshipping;186381397;82;1611;0.76%;05.сен;;;;
"Агенство "" Моряки России """;https://vk.com/morerasha;206683436;81;2273;0.75%;мар.56;;;;
Инженигеры;https://vk.com/enginiger;36753364;78;24057;0.72%;0.32;;;;
SeaEmploy.com;https://vk.com/seaemploy;69560675;78;3601;0.72%;фев.17;;;;
